,,,,,,,,,,,,,,,,,,,
Element,Chloride,Nitrate,Sulfate,Carbonate,Bicarbonate,Cyanide,Phosphate,Hydroxide,Permanganate,Dichromate,Silicate,Fluoride,Bromide,Iodide,Sulfite,Hypochlorite,Chlorate,Perchlorate,Molybdate
Li,Li Cl,Li NO3,Li2 SO4,Li2 CO3,Li HCO3,Li CN,Li3 PO4,Li OH,Li MnO4,Li2 Cr2O7,Li2 SiO3,Li F,Li Br,Li I,Li2 SO3,Li ClO,Li ClO3,Li ClO4,Li2 MoO4
Na,Na Cl,Na NO3,Na2 SO4,Na2 CO3,Na HCO3,Na CN,Na3 PO4,Na OH,Na MnO4,Na2 Cr2O7,Na2 SiO3,Na F,Na Br,Na I,Na2 SO3,Na ClO,Na ClO3,Na ClO4,Na2 MoO4
K,K Cl,K NO3,K2 SO4,K2 CO3,K HCO3,K CN,K3 PO4,K OH,K MnO4,K2 Cr2O7,K2 SiO3,K F,K Br,K I,K2 SO3,K ClO,K ClO3,K ClO4,K2 MoO4
Rb,Rb Cl,Rb NO3,Rb2 SO4,Rb2 CO3,Rb HCO3,Rb CN,Rb3 PO4,Rb OH,Rb MnO4,Rb2 Cr2O7,Rb2 SiO3,Rb F,Rb Br,Rb I,Rb2 SO3,Rb ClO,Rb ClO3,Rb ClO4,Rb2 MoO4
Cs,Cs Cl,Cs NO3,Cs2 SO4,Cs2 CO3,Cs HCO3,Cs CN,Cs3 PO4,Cs OH,Cs MnO4,Cs2 Cr2O7,Cs2 SiO3,Cs F,Cs Br,Cs I,Cs2 SO3,Cs ClO,Cs ClO3,Cs ClO4,Cs2 MoO4
Mg,Mg Cl2,Mg (NO3)2,Mg SO4,Mg CO3,Mg (HCO3)2,Mg (CN)2,Mg3 (PO4)2,Mg (OH)2,Mg (MnO4)2,Mg Cr2O7,Mg SiO3,Mg F2,Mg Br2,Mg I2,Mg SO3,Mg (ClO)2,Mg (ClO3)2,Mg (ClO4)2,Mg MoO4
Be,Be Cl2,Be (NO3)2,Be SO4,Be CO3,Be (HCO3)2,Be (CN)2,Be3 (PO4)2,Be (OH)2,Be (MnO4)2,Be Cr2O7,Be SiO3,Be F2,Be Br2,Be I2,Be SO3,Be (ClO)2,Be (ClO3)2,Be (ClO4)2,Be MoO4
Ca,Ca Cl2,Ca (NO3)2,Ca SO4,Ca CO3,Ca (HCO3)2,Ca (CN)2,Ca3 (PO4)2,Ca (OH)2,Ca (MnO4)2,Ca Cr2O7,Ca SiO3,Ca F2,Ca Br2,Ca I2,Ca SO3,Ca (ClO)2,Ca (ClO3)2,Ca (ClO4)2,Ca MoO4
Sr,Sr Cl2,Sr (NO3)2,Sr SO4,Sr CO3,Sr (HCO3)2,Sr (CN)2,Sr3 (PO4)2,Sr (OH)2,Sr (MnO4)2,Sr Cr2O7,Sr SiO3,Sr F2,Sr Br2,Sr I2,Sr SO3,Sr (ClO)2,Sr (ClO3)2,Sr (ClO4)2,Sr MoO4
Ba,Ba Cl2,Ba (NO3)2,Ba SO4,Ba CO3,Ba (HCO3)2,Ba (CN)2,Ba3 (PO4)2,Ba (OH)2,Ba (MnO4)2,Ba Cr2O7,Ba SiO3,Ba F2,Ba Br2,Ba I2,Ba SO3,Ba (ClO)2,Ba (ClO3)2,Ba (ClO4)2,Ba MoO4
